Date,SMS Sent,SMS Delivered,SMS Failed,WhatsApp Sent,WhatsApp Delivered,WhatsApp Failed,WhatsApp Read
2026-06-12,1155,1093,62,872,843,29,666
2026-06-13,839,811,28,636,620,16,503
2026-06-14,781,753,28,597,577,20,466
2026-06-15,1144,1106,38,892,860,32,670
2026-06-16,1242,1214,28,805,785,20,622
2026-06-17,1120,1064,56,861,826,35,598
2026-06-18,1298,1244,54,845,834,11,644
2026-06-19,1274,1208,66,841,830,11,597
2026-06-20,859,841,18,540,533,7,415
2026-06-21,851,816,35,597,587,10,416
2026-06-22,1169,1113,56,861,826,35,610
2026-06-23,1147,1114,33,844,811,33,588
2026-06-24,1196,1160,36,910,883,27,691
2026-06-25,1237,1205,32,835,816,19,644
2026-06-26,1136,1072,64,811,782,29,563
2026-06-27,853,808,45,616,601,15,476
2026-06-28,872,823,49,517,509,8,367
2026-06-29,1259,1212,47,871,837,34,607
2026-06-30,1080,1032,48,916,890,26,662
2026-07-01,1337,1306,31,917,900,17,673
2026-07-02,1135,1096,39,867,849,18,625
2026-07-03,1289,1222,67,781,768,13,599
2026-07-04,840,814,26,630,606,24,456
2026-07-05,881,845,36,587,579,8,466
2026-07-06,1223,1195,28,778,752,26,605
2026-07-07,1101,1061,40,897,868,29,678
2026-07-08,1012,978,34,741,721,20,537
2026-07-09,1255,1213,42,814,798,16,650
2026-07-10,1241,1175,66,933,913,20,711
2026-07-11,835,792,43,510,502,8,372
2026-07-12,817,785,32,607,582,25,429
2026-07-13,1137,1076,61,762,749,13,564
2026-07-14,1236,1198,38,945,920,25,702
2026-07-15,1117,1084,33,792,778,14,563
2026-07-16,1237,1177,60,853,833,20,679
2026-07-17,1133,1090,43,878,867,11,668
2026-07-18,813,796,17,662,651,11,486
2026-07-19,869,821,48,636,613,23,461
2026-07-20,1273,1217,56,774,765,9,551
2026-07-21,1199,1154,45,897,885,12,660
2026-07-22,1287,1234,53,724,714,10,575
2026-07-23,1151,1085,66,855,826,29,623
2026-07-24,1271,1219,52,855,829,26,653
2026-07-25,777,750,27,573,560,13,419
2026-07-26,877,826,51,643,617,26,457
2026-07-27,1216,1150,66,949,923,26,723
2026-07-28,1074,1014,60,903,871,32,638
2026-07-29,1132,1073,59,907,885,22,694
2026-07-30,1115,1051,64,759,744,15,585
2026-07-31,1220,1151,69,819,804,15,625
2026-08-01,896,867,29,668,653,15,516
2026-08-02,800,753,47,570,553,17,428
2026-08-03,1219,1151,68,884,861,23,702
2026-08-04,1198,1144,54,840,823,17,585
2026-08-05,1216,1164,52,807,793,14,638
2026-08-06,1329,1295,34,903,889,14,704
2026-08-07,1151,1084,67,887,862,25,634
2026-08-08,912,889,23,679,668,11,491
2026-08-09,882,831,51,626,607,19,469
2026-08-10,1170,1115,55,899,885,14,623
