Date,CPU Utilization (%),Memory Usage (%),Disk I/O (MB/s),Network Latency (ms),Error Rate (%),Active Instances,Failed Deployments,API Response Time (ms),Uptime (%)
2025-08-04,42,58,120,18,0.3,24,0,145,99.98
2025-08-11,45,61,125,20,0.4,24,1,150,99.95
2025-08-18,40,56,118,17,0.2,24,0,140,99.99
2025-08-25,43,59,122,19,0.3,24,0,148,99.97
2025-09-01,44,60,124,18,0.4,25,1,152,99.94
2025-09-08,41,57,119,17,0.2,25,0,142,99.98
2025-09-15,46,62,128,21,0.5,25,0,155,99.93
2025-09-22,42,58,121,18,0.3,25,0,146,99.97
2025-09-29,43,59,123,19,0.3,24,1,149,99.96
2025-10-06,45,61,126,20,0.4,24,0,151,99.95
2025-10-13,40,55,117,16,0.2,24,0,138,99.99
2025-10-20,44,60,124,19,0.3,25,0,148,99.97
2025-10-27,42,58,120,18,0.3,25,1,145,99.96
2025-11-03,46,63,129,21,0.5,25,0,156,99.93
2025-11-10,43,59,122,18,0.3,25,0,147,99.97
2025-11-17,41,57,118,17,0.2,24,0,141,99.98
2025-11-24,44,60,125,19,0.4,24,0,150,99.95
2025-12-01,47,64,132,22,0.5,26,1,158,99.92
2025-12-08,48,65,135,23,0.6,26,0,162,99.90
2025-12-15,50,67,138,24,0.7,27,1,168,99.88
2025-12-22,52,69,142,25,0.8,28,2,175,99.85
2025-12-29,49,66,136,23,0.6,27,0,164,99.91
2026-01-05,43,59,122,18,0.3,25,0,147,99.97
2026-01-12,44,60,124,19,0.4,25,0,149,99.96
2026-01-19,42,58,120,18,0.3,24,0,145,99.97
2026-01-26,45,61,126,20,0.4,25,1,152,99.95
2026-02-02,41,56,118,17,0.2,24,0,140,99.98
2026-02-09,43,59,123,19,0.3,25,0,148,99.97
2026-02-16,44,60,125,18,0.4,25,0,150,99.96
2026-02-23,42,58,121,18,0.3,24,0,146,99.97
2026-03-02,46,62,128,21,0.5,25,0,155,99.93
2026-03-09,43,59,122,18,0.3,25,1,147,99.96
2026-03-16,41,57,119,17,0.2,24,0,142,99.98
2026-03-23,44,60,124,19,0.4,25,0,149,99.95
2026-03-30,42,58,120,18,0.3,24,0,145,99.97
2026-04-06,45,61,126,20,0.4,25,0,152,99.95
2026-04-13,43,59,122,18,0.3,25,0,148,99.97
2026-04-20,40,55,117,16,0.2,24,0,138,99.99
2026-04-27,44,60,125,19,0.4,25,1,150,99.95
2026-05-04,42,58,121,18,0.3,24,0,146,99.97
2026-05-11,46,62,129,21,0.5,25,0,156,99.93
2026-05-18,43,59,122,18,0.3,25,0,147,99.97
2026-05-25,41,57,118,17,0.2,24,0,141,99.98
2026-06-01,44,60,124,19,0.4,25,0,149,99.96
2026-06-08,42,58,120,18,0.3,24,0,145,99.97
2026-06-15,45,61,127,20,0.4,25,0,153,99.95
2026-06-22,43,59,122,18,0.3,25,1,148,99.96
2026-06-29,41,56,118,17,0.2,24,0,140,99.98
2026-07-06,44,60,125,19,0.4,25,0,150,99.96
2026-07-13,42,58,121,18,0.3,24,0,146,99.97
2026-07-20,45,61,126,20,0.4,25,0,152,99.95
2026-07-27,43,59,123,19,0.3,25,0,148,99.97
