Date,Milk (Litres),Bread (Units),Eggs (Dozens),Rice (Kg),Chicken (Kg)
2024-08-05,1200,850,400,600,350
2024-08-12,1150,820,380,580,340
2024-08-19,1180,860,410,620,360
2024-08-26,1220,840,390,590,330
2024-09-02,1190,870,420,610,370
2024-09-09,1160,830,385,570,345
2024-09-16,1210,850,405,600,355
2024-09-23,1170,880,415,630,365
2024-09-30,1230,840,395,585,340
2024-10-07,1200,860,410,610,360
2024-10-14,1180,835,385,595,350
2024-10-21,1220,870,420,620,370
2024-10-28,1190,845,400,580,335
2024-11-04,1240,880,425,640,375
2024-11-11,1210,850,405,600,355
2024-11-18,1170,830,380,575,340
2024-11-25,1250,890,430,650,380
2024-12-02,1280,900,440,660,390
2024-12-09,1300,920,450,680,400
2024-12-16,1320,940,460,700,410
2024-12-23,1350,960,470,720,420
2024-12-30,1330,930,455,690,405
2025-01-06,1200,850,400,600,350
2025-01-13,1180,840,390,590,345
2025-01-20,1210,860,410,610,360
2025-01-27,1190,835,395,580,340
2025-02-03,1220,870,415,620,365
2025-02-10,1170,845,385,575,335
2025-02-17,1200,855,405,600,355
2025-02-24,1230,880,420,630,370
2025-03-03,1190,840,390,585,340
2025-03-10,1210,860,410,610,360
2025-03-17,1180,835,385,575,345
2025-03-24,1240,875,425,635,375
2025-03-31,1200,850,400,600,350
2025-04-07,1220,865,415,620,365
2025-04-14,1190,840,390,585,340
2025-04-21,1210,855,405,605,355
2025-04-28,1180,830,380,570,335
2025-05-05,1230,870,420,625,370
2025-05-12,1200,850,400,600,350
2025-05-19,1210,860,410,615,360
2025-05-26,1190,840,390,585,340
2025-06-02,1220,865,415,620,365
2025-06-09,1180,835,385,575,335
2025-06-16,1200,855,405,600,355
2025-06-23,1230,875,420,630,370
2025-06-30,1210,850,400,605,350
2025-07-07,1190,840,390,585,340
2025-07-14,1220,860,415,620,360
2025-07-21,1200,850,400,600,355
2025-07-28,1180,835,385,580,340
2025-08-04,1210,860,410,610,360
2025-08-11,1230,875,420,625,370
2025-08-18,1190,840,390,585,340
2025-08-25,1220,855,405,605,355
2025-09-01,1200,850,400,600,350
2025-09-08,1180,835,385,580,335
2025-09-15,1210,865,415,615,365
2025-09-22,1230,870,420,630,370
2025-09-29,1190,840,390,585,340
2025-10-06,1220,860,410,610,360
2025-10-13,1200,850,400,600,350
2025-10-20,1180,835,385,575,335
2025-10-27,1240,880,425,640,375
2025-11-03,1210,855,405,605,355
2025-11-10,1190,840,390,585,340
2025-11-17,1230,870,420,625,370
2025-11-24,1250,890,435,650,380
2025-12-01,1270,905,445,670,395
2025-12-08,1290,920,455,685,405
2025-12-15,1310,935,465,700,415
2025-12-22,1340,950,475,720,425
2025-12-29,1320,930,460,695,410
2026-01-05,1200,850,400,600,350
2026-01-12,1185,840,390,585,340
2026-01-19,1210,860,410,610,360
2026-01-26,1195,845,395,590,345
2026-02-02,1220,870,415,620,365
2026-02-09,1175,835,385,575,335
2026-02-16,1205,855,405,600,355
2026-02-23,1230,875,420,630,370
2026-03-02,1190,840,390,585,340
2026-03-09,1215,860,410,610,360
2026-03-16,1200,850,400,600,350
2026-03-23,1180,835,385,575,340
2026-03-30,1225,870,415,620,365
2026-04-06,1210,855,405,605,355
2026-04-13,1195,840,390,585,340
2026-04-20,1220,865,415,615,360
2026-04-27,1185,830,380,570,335
2026-05-04,1235,875,425,635,375
2026-05-11,1200,850,400,600,350
2026-05-18,1215,860,410,615,360
2026-05-25,1190,840,390,585,340
2026-06-01,1225,865,415,620,365
2026-06-08,1180,835,385,575,335
2026-06-15,1205,855,405,600,355
2026-06-22,1230,875,420,630,370
2026-06-29,1210,850,400,605,350
2026-07-06,1195,840,390,585,340
2026-07-13,1220,860,415,620,360
2026-07-20,1200,850,400,600,355
2026-07-27,1185,835,385,580,340
